TestCseID,Type,Scheme Options,Discount Percentage Method,Buy Type,Promotion Type,Discount,Apply On,Level,Must,MRP
PROMO002,Promo & Deal,For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO002,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO002,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO003,Promo & Deal,For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO003,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO003,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO004,Promo & Deal,For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO004,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO004,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO008,Promo & Deal,For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO008,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO008,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO009,Promo & Deal,For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO009,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO009,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO010,Promo & Deal,For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO010,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO010,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO014,Promo & Deal,Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO014,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO014,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO015,Promo & Deal,Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO015,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO015,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO019,Promo & Deal,Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO019,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO019,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO020,Promo & Deal,Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO020,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO020,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO030,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO030,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO030,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO031,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO031,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO031,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO034,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO034,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO034,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO035,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO035,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO035,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO038,Promo & Deal,Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO038,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO038,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
