TestCseID,Type,Scheme Options,Discount Percentage Method,Buy Type,Promotion Type,Discount,Apply On,Level,Must,MRP
PROMO005,Promo & Deal,For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO005,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO005,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO006,Promo & Deal,For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO006,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO006,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO011,Promo & Deal,For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO011,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO011,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO012,Promo & Deal,For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO012,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO012,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO016,Promo & Deal,Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO016,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO016,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO017,Promo & Deal,Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO017,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO017,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO021,Promo & Deal,Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO021,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO021,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO022,Promo & Deal,Pro-rata;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO022,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO022,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO025,Promo & Deal,FOC Recurring,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO025,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO025,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO026,Promo & Deal,FOC Recurring,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO026,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO026,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO027,Promo & Deal,FOC Recurring,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO027,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO027,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO028,Promo & Deal,FOC Recurring,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO028,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO028,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO032,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO032,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO032,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO036,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO036,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO036,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO041,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO041,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO041,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO046,Promo & Deal,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO046,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO046,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO051,Promo & Deal,Combi Scheme,,Amount,Free Product,AND,Per Tier,Prodcat 1,,
PROMO051,,,,,Free Product,AND,Per Tier,Prodcat 1,,
PROMO051,,,,,Free Product,AND,Per Tier,Prodcat 1,,
PROMO052,Promo & Deal,Combi Scheme,,Amount,Free Product,OR,Per Tier,Prodcat 1,,
PROMO052,,,,,Free Product,OR,Per Tier,Prodcat 1,,
PROMO052,,,,,Free Product,OR,Per Tier,Prodcat 1,,
PROMO057,Promo & Deal,Combi Scheme,,Quantity,Free Product,AND,Per Tier,Prodcat 1,,
PROMO057,,,,,Free Product,AND,Per Tier,Prodcat 1,,
PROMO057,,,,,Free Product,AND,Per Tier,Prodcat 1,,
PROMO058,Promo & Deal,Combi Scheme,,Quantity,Free Product,OR,Per Tier,Prodcat 1,,
PROMO058,,,,,Free Product,OR,Per Tier,Prodcat 1,,
PROMO058,,,,,Free Product,OR,Per Tier,Prodcat 1,,
PROMO063,Promo & Deal,Scheme by Range;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO063,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO063,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO064,Promo & Deal,Scheme by Range;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO064,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO064,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO069,Promo & Deal,Scheme by Range;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO069,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO069,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO070,Promo & Deal,Scheme by Range;For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO070,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO070,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO074,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO074,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO074,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO075,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO075,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO075,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO079,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO079,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO079,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO080,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO080,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO080,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO086,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO086,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO086,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO090,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO090,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO090,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO095,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO095,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO095,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO100,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO100,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO100,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO105,Promo & Deal,Scheme by TDR;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO105,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO105,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO106,Promo & Deal,Scheme by TDR;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO106,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO106,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO111,Promo & Deal,Scheme by Range;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO111,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO111,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO112,Promo & Deal,Scheme by Range;For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO112,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO112,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO116,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO116,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO116,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO117,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO117,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO117,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO121,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO121,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO121,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO122,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO122,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO122,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO129,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO129,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO129,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO134,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO134,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO134,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO138,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO138,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO138,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO142,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO142,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO142,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO147,Promo & Deal,Scheme by TDR;Combi Scheme,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO147,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO147,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO148,Promo & Deal,Scheme by TDR;Combi Scheme,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO148,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO148,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO153,Promo & Deal,Scheme by TDR;Combi Scheme,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO153,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO153,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO154,Promo & Deal,Scheme by TDR;Combi Scheme,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO154,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO154,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO159,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO159,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO159,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO160,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO160,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO160,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO165,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
