TestCseID,Type,Promotion Type,Scheme Options,Discount Percentage Method,Buy Type,Apply On
PROMOINV001A,Promo & Deal,Discount by Percentage,For Every,,Quantity,Per Tier
PROMOINV002A,Promo & Deal,Discount by Value,For Every,,Quantity,Per Tier
PROMOINV003A,Promo & Deal,Discount by Value,For Every,,Quantity,Per UOM
PROMOINV004A,Promo & Deal,Discount by Value,For Every,,Quantity,Per Product
PROMOINV007A,Promo & Deal,Discount by Percentage,For Every,,Amount,Per Tier
PROMOINV008A,Promo & Deal,Discount by Value,For Every,,Amount,Per Tier
PROMOINV009A,Promo & Deal,Discount by Value,For Every,,Amount,Per UOM
PROMOINV010A,Promo & Deal,Discount by Value,For Every,,Amount,Per Product
PROMOINV013A,Promo & Deal,Discount by Percentage,Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV014A,Promo & Deal,Discount by Value,Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV015A,Promo & Deal,Discount by Value,Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV018A,Promo & Deal,Discount by Percentage,Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV019A,Promo & Deal,Discount by Value,Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV020A,Promo & Deal,Discount by Value,Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV023A,Promo & Deal,Discount by Percentage,Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV024A,Promo & Deal,Discount by Percentage,Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV029A,Promo & Deal,Discount by Percentage,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV033A,Promo & Deal,Discount by Percentage,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV030A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV031A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV034A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV035A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV037A,Promo & Deal,Discount by Percentage,Quantity Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV038A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV039A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV040A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Amount,Per Product
PROMOINV042A,Promo & Deal,Discount by Percentage,Quantity Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV043A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV044A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV045A,Promo & Deal,Discount by Value,Quantity Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV047A,Promo & Deal,Discount by Percentage,Combi Scheme,,Amount,Per Tier
PROMOINV048A,Promo & Deal,Discount by Value,Combi Scheme,,Amount,Per Tier
PROMOINV049A,Promo & Deal,Discount by Value,Combi Scheme,,Amount,Per UOM
PROMOINV050A,Promo & Deal,Discount by Value,Combi Scheme,,Amount,Per Product
PROMOINV053A,Promo & Deal,Discount by Percentage,Combi Scheme,,Quantity,Per Tier
PROMOINV054A,Promo & Deal,Discount by Value,Combi Scheme,,Quantity,Per Tier
PROMOINV055A,Promo & Deal,Discount by Value,Combi Scheme,,Quantity,Per UOM
PROMOINV056A,Promo & Deal,Discount by Value,Combi Scheme,,Quantity,Per Product
PROMOINV059A,Promo & Deal,Discount by Percentage,Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV060A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV061A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Quantity,Per UOM
PROMOINV062A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Quantity,Per Product
PROMOINV065A,Promo & Deal,Discount by Percentage,Scheme by Range;For Every,,Amount,Per Tier
PROMOINV066A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Amount,Per Tier
PROMOINV067A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Amount,Per UOM
PROMOINV068A,Promo & Deal,Discount by Value,Scheme by Range;For Every,,Amount,Per Product
PROMOINV071A,Promo & Deal,Discount by Percentage,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV072A,Promo & Deal,Discount by Value,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV073A,Promo & Deal,Discount by Value,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV076A,Promo & Deal,Discount by Percentage,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV077A,Promo & Deal,Discount by Value,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV078A,Promo & Deal,Discount by Value,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV081A,Promo & Deal,Discount by Percentage,Scheme by Range;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV082A,Promo & Deal,Discount by Percentage,Scheme by Range;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV083A,Promo & Deal,Discount by Percentage,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV084A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV085A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV087A,Promo & Deal,Discount by Percentage,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV088A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV089A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV091A,Promo & Deal,Discount by Percentage,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV092A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV093A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV094A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV096A,Promo & Deal,Discount by Percentage,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV097A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV098A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV099A,Promo & Deal,Discount by Value,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Per Product
PROMOINV101A,Promo & Deal,Discount by Percentage,Scheme by TDR;For Every,,Quantity,Per Tier
PROMOINV102A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Quantity,Per Tier
PROMOINV103A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Quantity,Per UOM
PROMOINV104A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Quantity,Per Product
PROMOINV107A,Promo & Deal,Discount by Percentage,Scheme by TDR;For Every,,Amount,Per Tier
PROMOINV108A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Amount,Per Tier
PROMOINV109A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Amount,Per UOM
PROMOINV110A,Promo & Deal,Discount by Value,Scheme by TDR;For Every,,Amount,Per Product
PROMOINV113A,Promo & Deal,Discount by Percentage,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV114A,Promo & Deal,Discount by Value,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV115A,Promo & Deal,Discount by Value,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV118A,Promo & Deal,Discount by Percentage,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV119A,Promo & Deal,Discount by Value,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV120A,Promo & Deal,Discount by Value,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV123A,Promo & Deal,Discount by Percentage,Scheme by TDR;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV124A,Promo & Deal,Discount by Percentage,Scheme by TDR;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV125A,Promo & Deal,Discount by Percentage,Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV126A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV127A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV128A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV130A,Promo & Deal,Discount by Percentage,Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV131A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV132A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV133A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV135A,Promo & Deal,Discount by Percentage,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV136A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV137A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV139A,Promo & Deal,Discount by Percentage,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV140A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV141A,Promo & Deal,Discount by Value,Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV143A,Promo & Deal,Discount by Percentage,Scheme by TDR;Combi Scheme,,Amount,Per Tier
PROMOINV144A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Amount,Per Tier
PROMOINV145A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Amount,Per UOM
PROMOINV146A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Amount,Per Product
PROMOINV149A,Promo & Deal,Discount by Percentage,Scheme by TDR;Combi Scheme,,Quantity,Per Tier
PROMOINV150A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Quantity,Per Tier
PROMOINV151A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Quantity,Per UOM
PROMOINV152A,Promo & Deal,Discount by Value,Scheme by TDR;Combi Scheme,,Quantity,Per Product
PROMOINV155A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV156A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV157A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Quantity,Per UOM
PROMOINV158A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Product
PROMOINV161A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV162A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV163A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Amount,Per UOM
PROMOINV164A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;For Every,,Amount,Per Product
PROMOINV167A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV168A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV169A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV172A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV173A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV174A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV177A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV178A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Accumulative,Amount,Per Tier
